City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Tilichiki,RU,2021-09-25 20:28:06,60.4667,166.1,37.76,69,100,2.77
263,Mackay,AU,2021-09-25 20:28:06,-21.15,149.2,62.04,94,3,4.61
264,Slave Lake,CA,2021-09-25 20:28:07,55.2834,-114.769,60.78,55,1,12.66
265,Geraldton,AU,2021-09-25 20:28:07,-28.7667,114.6,61.21,77,40,10.36
266,Yellowknife,CA,2021-09-25 20:28:07,62.456,-114.3525,48.42,89,90,5.99
267,Pitimbu,BR,2021-09-25 20:28:08,-7.4706,-34.8086,77.59,77,23,13.24
268,Tolaga Bay,NZ,2021-09-25 20:28:08,-38.3667,178.3,58.73,68,100,5.08
269,Severo-Kurilsk,RU,2021-09-25 20:28:08,50.6789,156.125,48.24,86,100,3.94
270,Kandrian,PG,2021-09-25 20:28:09,-6.2167,149.55,77.54,88,100,5.68
271,Adrar,MR,2021-09-25 20:28:09,20.5022,-10.0711,98.01,18,87,5.59
272,Namatanai,PG,2021-09-25 20:28:09,-3.6667,152.4333,78.96,82,32,7.76
273,Nsoko,SZ,2021-09-25 20:28:10,-27.0333,31.95,66.02,79,0,3.74
274,Umea,SE,2021-09-25 20:28:10,63.8284,20.2597,35.53,100,3,0.0
275,Ures,MX,2021-09-25 20:28:10,29.4333,-110.4,89.28,39,100,3.71
276,Port Lincoln,AU,2021-09-25 20:28:11,-34.7333,135.8667,50.88,74,11,12.97
277,Gravdal,NO,2021-09-25 20:28:11,68.1214,13.5031,46.87,79,53,10.49
278,Bhagalpur,IN,2021-09-25 20:28:11,25.25,87.0,85.41,68,100,5.3
279,Pochutla,MX,2021-09-25 20:28:12,15.7432,-96.4661,89.82,64,32,7.11
280,Lodingen,NO,2021-09-25 20:28:12,68.414,15.9951,48.43,84,77,4.0
281,Valparaiso,CL,2021-09-25 20:27:34,-33.0393,-71.6273,64.04,61,20,16.11
282,Maryville,US,2021-09-25 20:28:13,35.7565,-83.9705,77.18,53,75,1.01
283,Matara,LK,2021-09-25 20:28:13,5.9485,80.5353,78.64,87,100,10.94
284,Yar-Sale,RU,2021-09-25 20:28:13,66.8333,70.8333,33.21,83,12,7.2
285,Nuuk,GL,2021-09-25 20:28:14,64.1835,-51.7216,34.41,40,1,8.05
286,Natchez,US,2021-09-25 20:28:14,31.5604,-91.4032,81.9,44,1,5.75
287,Goderich,CA,2021-09-25 20:28:14,43.7501,-81.7165,57.9,72,100,12.66
288,Maputo,MZ,2021-09-25 20:24:24,-25.9653,32.5892,69.22,88,38,1.99
289,Adre,TD,2021-09-25 20:28:15,13.4667,22.2,80.4,30,65,7.58
290,Codrington,AU,2021-09-25 20:28:15,-38.2667,141.9667,45.48,67,99,4.25
291,Zhigansk,RU,2021-09-25 20:28:15,66.7697,123.3711,31.06,89,73,10.25
